№;Название продукта;Что делает продукт/сервис;Какие проблемы помогает решить
329;Электронный документооборот;Электронный документооборот;Переход на ЭДО
330;Сервис повышения продаж на сайте;Сервис повышения продаж на сайте;Конверсия сайта
331;Чат-боты для бизнеса;Чат-боты для бизнеса;Автоматизация общения
332;Имущество. Рынок. ЮЛ. Брокер;Страхование имущества;Страхование имущества
333;Цифровой консалтинг;Цифровой консалтинг;Цифровая трансформация
334;Архитектурный консалтинг в ИТ;Архитектурный консалтинг в ИТ;ИТ-архитектура
335;eCOM. Вывод на OZON;Вывод на Ozon;Выход на Ozon
336;АСТ ГОЗ: Электронная площадка для закрытых торгов;Площадка для закрытых торгов ГОЗ;Закрытые торги
337;Опция "Самоинкассация";Опция самоинкассации;Самоинкассация
338;Оборотный кредит под залог недвижимости/векселя Стандарт индивидуальная ставка;Оборотный кредит под залог;Финансирование под залог
339;Аренда смарт-терминала;Аренда смарт-терминала;Эквайринг
340;Переводы с участием счетов в другой банк;Переводы в другие банки;Межбанковские переводы
341;50. Овердрафт с общим лимитом;Овердрафт с общим лимитом;Финансирование
342;Юрист для бизнеса;Юрист для бизнеса;Юридическая поддержка
343;10. Оборотный кредит;Оборотный кредит;Оборотные средства
344;Активация Сфера услуг;Активация Сфера услуг;Сервисы для сферы услуг
345;Смарт-POS 2в1;Смарт-POS 2в1;Терминал + эквайринг
346;Инвестиционное структурирование концессионных проектов;Структурирование концессий;Концессионные проекты
347;Факторинг БезРегресс;Факторинг без регресса;Финансирование дебиторки
348;Финансовое сопровождение бизнеса;Финансовое сопровождение бизнеса;Финансовый менеджмент
349;Мобильный кассир;Мобильный кассир;Мобильные платежи
350;Продажа имущества компании;Продажа имущества компании;Реализация активов
351;Электронная подпись;Электронная подпись;ЭП для бизнеса
352;Пакет услуг "Только для селлеров";Пакет «Только для селлеров»;Поддержка селлеров
353;Подключение ретейлеров;Подключение ретейлеров;Выход ретейлеров на платформу
354;Кредиты юридическим лицам: Факторинг;Кредиты ЮЛ: факторинг;Факторинг
355;Индивидуальные проекты;Кастомные решения под клиента;Кастомные потребности
356;Все остальные гарантии, кредиты, опции и пакеты;Стандартные банковские продукты Сбера;Снижение рисков и финансирование
357;Все остальные партнёрские сервисы и активации;Партнёрские цифровые сервисы;Автоматизация и аналитика
358;Все остальные «Индивидуальные проекты» и «Прочее»;Индивидуальные / кастомные решения;Специфические потребности
359;21. Договорная гарантия/ гарантия качества. Альбом №593 для Принципала с непроектным риск-профилем ОК;Банковская гарантия качества работ/услуг.;Банковская гарантия качества работ/услуг.
360;11. Финансовый кредит. Альбом №931-р;Стандартный финансовый кредит.;Стандартный финансовый кредит.
361;"Пакет услуг ""Только для ИП""";Пакет услуг для ИП.;Пакет услуг для ИП.
362;1.2 Гарантия исполнения финансовых обязательств по договору/ контракту (гарантия платежа). Альбом №1593-р, Альбом №2559, Альбом №593-р;Гарантия платежа по контракту.;Гарантия платежа по контракту.
363;16. Гарантия возврата займа на оборотные цели за счет текущей деятельности. Альбом №593 для Принципала с непроектным риск-профилем;Гарантия возврата кредита.;Гарантия возврата кредита.
364;25. Налоговая гарантия возмещения НДС (заявительный порядок). Альбом №593-р, Альбом №1593-р ОК;Банковская гарантия для возврата НДС.;Банковская гарантия для возврата НДС.
365;"38. Основное финансирование в рамках Продукта ""2 в 1"". ОРД";Комбинированный кредит.;Комбинированный кредит.
366;39.3. Кредит под будущую прибыль в рамках Продукта по финансированию проектов строительства Объектов жилой недвижимости «3 в 1». Альбом №5738;Проектное финансирование.;Проектное финансирование.
367;17. Гарантия возврата займа на оборотные цели за счет текущей деятельности. Альбом №593 для Принципала с проектным риск-профилем или СКМ, Альбом №2559;Банковская гарантия.;Банковская гарантия.
368;53. Финансирование текущей деятельности Контрактников и Подрядчиков (Котловое финансирование). Альбом №2559;Специфическое кредитование.;Специфическое кредитование.
369;24. Финансирование проектов жилищного строит-ва при осуществлении расчетов по договорам участия в долевом строит-ве с исп. счетов эскроу. Альбом №5738;Проектное финансирование.;Проектное финансирование.
370;3.1 Гарантия исполнения договорных обязательств по договору/ контракту (договорная гарантия/ гарантия качества). Альбом №593-р для Принципала с непроектным риск-профилем;Гарантия исполнения контракта.;Гарантия исполнения контракта.
371;21. Договорная гарантия/ гарантия качества. Альбом №593 для Принципала с непроектным риск-профиля;Гарантия качества.;Гарантия качества.
372;26. Налоговая гарантия возмещения налога по ст.203 НК РФ (заявительный порядок). Альбом №593-р, Альбом №1593-р ОК;Налоговая гарантия.;Налоговая гарантия.
373;14. Гарантия платежа непроектного Принципала. Альбом №593-р ОК;Гарантия платежа.;Гарантия платежа.
374;1.1 Гарантия исполнения финансовых обязательств по договору/ контракту (гарантия платежа) Альбом №593-р;Гарантия платежа.;Гарантия платежа.
375;25. Налоговая гарантия возмещения НДС (заявительный порядок). Альбом №593-р, Альбом №1593;Налоговая гарантия.;Налоговая гарантия.
376;"22. Договорная гарантия/ гарантия качества . Альбом №593 для Принципала с проектным риск-профилем, Альбом №1593, Альбом №2559 """;Гарантия качества.;Гарантия качества.
377;25. Кредитование с обеспечением в виде залога квартир, нежилых помещений и машиномест в объектах жилой недвижимости, введенных в эксп-ю. Альбом №5738;Кредит под залог недвижимости.;Кредит под залог недвижимости.
378;15. Гарантия платежа. Альбом №593 для проектного Принципала или СКМ, Альбом №2559;Гарантия платежа.;Гарантия платежа.
379;3.2 Гарантия исполнения договорных обязательств по договору/ контракту (договорная гарантия/ гарантия качества). Альбом №593-р для Принципала с проектным риск-профилем;Гарантия исполнения.;Гарантия исполнения.
380;6. Проектное финансирование Альбом №479-р, Альбом №2559, ОРД;Проектное финансирование.;Проектное финансирование.
381;2. Гарантия исполнения платежных обязательств по договору приобретения земельного участка под строительство Объекта жилой недвижимости. Альбом №5738;Гарантия для девелоперов.;Гарантия для девелоперов.
382;Валютный контроль (ВК);Валютный контроль.;Валютный контроль.
383;23. Финансирование строительства объектов коммерческой недвижимости. ОРД;Кредитование строительства.;Кредитование строительства.
384;49. Индивидуальный овердрафт. Альбом №2667 ОК;Овердрафт.;Овердрафт.
385;10. Оборотный кредит. Альбом №931-р, ОРД;Оборотный кредит.;Оборотный кредит.
386;Предоплата / отложенная оплата физических поставок товарно-сырьевых активов (flash-title);Товарное финансирование.;Товарное финансирование.
387;БС контрактов/проектов по договору (соглашению) с корпоративным клиентом;Сопровождение контрактов.;Сопровождение контрактов.
388;Электронный документооборот (Сервисы «Документооборот» и «Отчетность»);ЭДО.;ЭДО.
389;24. Финансирование проектов жилищного строит-ва при осущес-и расчетов по договорам участия в долевом строит-ве с исп счетов эскроу. Альбом №5738 ОК;Проектное финансирование.;Проектное финансирование.
390;5. Инвестиционное кредитование. Альбом №479-р, Альбом №2559, ОРД;Инвестиционный кредит.;Инвестиционный кредит.
391;10. Оборотный кредит. Альбом №931-р, ОРД ОК;Оборотный кредит.;Оборотный кредит.
